gestion,mes,dia,estacion,longitud,latitud,altura,Precipitacion,Temp_max,Temp_min
2017,1,1,Cristal Mayu,-65.643333,-17.007778,517,8,30,21
2017,1,2,Cristal Mayu,-65.643333,-17.007778,517,10,29,20
2017,1,3,Cristal Mayu,-65.643333,-17.007778,517,80,30,21
2017,1,4,Cristal Mayu,-65.643333,-17.007778,517,0,29,22
2017,1,5,Cristal Mayu,-65.643333,-17.007778,517,48,26,23
2017,1,6,Cristal Mayu,-65.643333,-17.007778,517,65,29,21
2017,1,7,Cristal Mayu,-65.643333,-17.007778,517,14,29,22
2017,1,8,Cristal Mayu,-65.643333,-17.007778,517,6.2,30,23
2017,1,9,Cristal Mayu,-65.643333,-17.007778,517,20,30,23
2017,1,10,Cristal Mayu,-65.643333,-17.007778,517,100,27,23
2017,1,11,Cristal Mayu,-65.643333,-17.007778,517,0.2,32,22
2017,1,12,Cristal Mayu,-65.643333,-17.007778,517,5,32,22
2017,1,13,Cristal Mayu,-65.643333,-17.007778,517,34,30,23
2017,1,14,Cristal Mayu,-65.643333,-17.007778,517,0,30,22
2017,1,15,Cristal Mayu,-65.643333,-17.007778,517,43,30,22
2017,1,16,Cristal Mayu,-65.643333,-17.007778,517,0,32,22
2017,1,17,Cristal Mayu,-65.643333,-17.007778,517,0,32,22
2017,1,18,Cristal Mayu,-65.643333,-17.007778,517,49,34,23
2017,1,19,Cristal Mayu,-65.643333,-17.007778,517,0,33,23
2017,1,20,Cristal Mayu,-65.643333,-17.007778,517,0,34,23
2017,1,21,Cristal Mayu,-65.643333,-17.007778,517,6.4,32,23
2017,1,22,Cristal Mayu,-65.643333,-17.007778,517,0,33,23
2017,1,23,Cristal Mayu,-65.643333,-17.007778,517,60,33,23
2017,1,24,Cristal Mayu,-65.643333,-17.007778,517,25.6,33,22
2017,1,25,Cristal Mayu,-65.643333,-17.007778,517,0,30,22
2017,1,26,Cristal Mayu,-65.643333,-17.007778,517,6.2,34,22
2017,1,27,Cristal Mayu,-65.643333,-17.007778,517,3,32,23
2017,1,28,Cristal Mayu,-65.643333,-17.007778,517,0,31,22
2017,1,29,Cristal Mayu,-65.643333,-17.007778,517,0,35,23
2017,1,30,Cristal Mayu,-65.643333,-17.007778,517,6.5,32,22
